PlayerID,FirstName,LastName,WAR
81,Mitchell,Owen,0.9717137553938543
95,Glenn,Maxwell,0.9303112791272331
21,Jason,Behrendorff,0.880709996306288
40,Will,Sutherland,0.8305737294839415
18,Ashton,Agar,0.7829200867193316
56,Matthew,Short,0.7109223593518682
51,Chris,Green,0.6688349104882153
120,Mark,Steketee,0.6417328300953424
14,Cooper,Connolly,0.639339384910569
42,Tom,Rodgers,0.6274829697592654
94,Ben,Duckett,0.6042381784676679
70,Matthew,Renshaw,0.5944054255767481
61,Jamie,Overton,0.570447591778642
12,Finn,Allen,0.557580797766118
45,David,Warner,0.5546210433078014
4,Marcus,Stoinis,0.5509374510350884
114,Joel,Paris,0.5321755971806821
41,Fergus,O'Neill,0.5308516969491811
23,Josh,Philippe,0.5077677862965786
87,Nathan,Ellis,0.4880555270013763
19,Jhye,Richardson,0.45356096240546495
49,Sam,Billings,0.44989192524355576
67,D'Arcy,Short,0.44648031811442035
112,Tom,Andrews,0.44077233495939544
43,Adam,Zampa,0.43333995295405536
107,Usama,Mir,0.429209718140536
11,Peter,Siddle,0.42433792825414
22,Lance,Morris,0.4201501637877861
72,Max,Bryant,0.4123144653713012
16,Ashton,Turner,0.4045737622978872
58,Chris,Lynn,0.40272602952108316
85,Tim,David,0.402719917221686
36,Tim,Seifert,0.39671669549407257
24,James,Vince,0.3929702313239466
91,Jacob,Bethell,0.3803165348294867
134,Steven,Smith,0.3766165068721303
54,Lockie,Ferguson,0.36333560133302245
28,Jack,Edwards,0.36291007215023274
32,Ben,Dwarshius,0.34835652146585205
110,Spencer,Johnson,0.3454007904890095
84,Nikhil,Chaudhary,0.32612193088528313
60,Alex,Ross,0.31663291192324144
55,Tanveer,Sangha,0.3060556188477524
80,Matthew,Wade,0.2940839872158317
88,Riley,Meredith,0.29269681817491694
102,Nathan,McSweeney,0.2867341852097321
117,Brendan,Doggett,0.2730839315458045
86,Chris,Jordan,0.2694673416200108
26,Moises,Henriques,0.26317093576066297
44,Kane,Richardson,0.26221838331956343
17,Nick,Hobson,0.2613134968959289
92,Ollie,Pope,0.2607321823038815
52,Daniel,Sams,0.25184250927741614
34,Jake,Fraser-McGurk,0.24442283417030977
66,Lloyd,Pope,0.23283820443106004
64,Henry,Thornton,0.23128945125604786
83,Ben,McDermott,0.2187220432321928
31,Sean,Abbott,0.21260574481796496
38,Laurie,Evans,0.19630035405364243
46,Sam,Konstas,0.19460347232248318
105,Jackson,Bird,0.1918044938369261
35,Josh,Brown,0.1801235759198738
118,Peter,Hatzoglou,0.16265115742687547
30,Hayden,Kerr,0.16254670056444925
27,Jordan,Silk,0.16213491630488766
33,Todd,Murphy,0.15702848021283178
89,Billy,Stanlake,0.155131453643662
75,Xavier,Bartlett,0.15507798427842262
6,Beau,Webster,0.14889273229107775
125,Gurinder,Sandhu,0.1480868344868587
20,Andrew,Tye,0.1435983746547326
146,Marnus,Labuschagne,0.1409377216289674
98,Caleb,Jewell,0.1376334547748801
135,Sam,Fanning,0.13749559934153463
68,Jack,Wood,0.13102531754632454
3,Sam,Harper,0.122832680367547
136,Alex,Carey,0.12206176120196378
127,Tom,Alsop,0.11829693438006908
140,Mahli,Beardman,0.11091414691422075
47,Cameron,Bancroft,0.10874635803164995
63,James,Bazley,0.108416498154518
69,Jimmy,Pierson,0.10836171453534003
15,Matthew,Hurst,0.10477513520689331
119,Dan,Lawrence,0.09990039513776854
104,Matthew,Kelly,0.09764724407235352
142,Callum,Stow,0.09636433471698516
145,Usman,Khawaja,0.09216976269205426
100,Akeal,Hosein,0.08946139689902952
29,Joel,Davies,0.08793510552462269
116,Matthew,Gilkes,0.07692871034025159
109,Tom,Banton,0.07681961107565004
5,Hilton,Cartwright,0.07049879077369905
65,Cameron,Boyce,0.07021694058718843
57,Jake,Weatherald,0.06838697328037631
90,Waqar,Salamkheil,0.060225175952405084
97,Josh,Inglis,0.0580433284813355
115,Kurtis,Patterson,0.0549392480657666
62,Fabian,Allen,0.054584660951810283
7,Tom,Curran,0.05313305017012236
73,Paul,Walter,0.05206098495231544
123,Jonathan,Wells,0.04107448701523609
111,Jason,Sangha,0.039427976302124246
126,Dan,Christian,0.037847963698755545
141,Jake,Doran,0.03619813619291731
76,Tom,Whitney,0.03408059568330648
144,Jafer,Chohan,0.02385784303416826
53,Nathan,McAndrew,0.02311202859184543
48,Oliver,Davies,0.022444076444193013
93,Liam,Scott,0.02236306127834501
9,Adam,Milne,0.020055698918419605
108,Aaron,Hardie,0.017964787447656717
99,Lachlan,Shaw,0.013623168719839924
13,Keaton,Jennings,0.012573020795726204
122,Hugh,Weibgen,0.009469000329509642
1,Joe,Clarke,0.007334418254587779
82,Shai,Hope,0.005525698356572988
39,Hassan,Khan,0.0038120979790212625
37,Mackenzie,Harvey,0.0009430588628340306
25,Daniel,Hughes,0.0
113,Wes,Agar,-0.0027062144677656944
139,Harry,Dixon,-0.00900493561115007
71,Daniel,Drew,-0.012118588150098244
143,Harry,Manenti,-0.012450512455731344
79,Campbell,Kellaway,-0.012954458160376856
10,Brody,Couch,-0.013865424668573519
137,Jordan,Buckingham,-0.01446170683805803
147,Marcus,Bean,-0.015620722793002384
59,Harry,Nielsen,-0.016648558524989705
121,Blake,Nikitaras,-0.017024475914259072
129,Mitchell,Marsh,-0.017179637414002677
74,Will,Prestwidge,-0.018340048343327135
77,Mitchell,Swepson,-0.01840788167090504
106,Jonathan,Merlo,-0.02290966593548337
8,Hamish,McKenzie,-0.024327055569107518
149,Oliver,Peake,-0.03132005819058817
131,George,Garton,-0.032062241613503045
148,Tawanda,Muyeye,-0.03246488463175725
132,Mohammad,Hasnain,-0.04133943462444564
124,Xavier,Crone,-0.04311094551224675
78,Matt,Kuhnemann,-0.055080674947175196
128,Michael,Neser,-0.056257777827829654
2,Thomas,Rogers,-0.06669927970573437
133,Charlie,Wakim,-0.07097910339694112
130,Marcus,Harris,-0.0748660359953678
150,Cameron,Gannon,-0.08200724349579246
96,Doug,Warren,-0.08255919759039866
138,Liam,Haskett,-0.0905928673703453
103,Matthew,Spoors,-0.09072308801191256
50,Sherfane,Rutherford,-0.09983440959381436
101,Colin,Munro,-0.21402028394026235
